dataset,model,family,roc_auc,precision,recall,f1,fit_seconds,score_seconds,train_size,test_size,n_features,contamination,error
near_blobs,PRR2NSA,clustering,0.948409,0.608,0.95,0.741463,0.020313,0.000487,300,300,2,0.266667,
near_blobs,DENSA,density,0.948693,0.608,0.95,0.741463,0.004206,0.000465,300,300,2,0.266667,
near_blobs,AntigenNSA,density,0.948693,0.608,0.95,0.741463,0.004439,0.000476,300,300,2,0.266667,
near_blobs,NSADE,optimization,0.94875,0.608,0.95,0.741463,0.005667,0.000649,300,300,2,0.266667,
near_blobs,NSAPSO,optimization,0.948693,0.608,0.95,0.741463,0.006824,0.000473,300,300,2,0.266667,
near_blobs,IORNSA,optimization,0.949659,0.608,0.95,0.741463,0.005585,0.000456,300,300,2,0.266667,
near_blobs,BIORVNSA,inhibition,0.962386,0.606299,0.9625,0.743961,0.00468,0.000453,300,300,2,0.266667,
near_blobs,HNSAIDSA,hybrid,0.94858,0.608,0.95,0.741463,0.001417,0.000458,300,300,2,0.266667,
near_blobs,NSAII,hybrid,0.948636,0.608,0.95,0.741463,0.001295,0.00044,300,300,2,0.266667,
near_blobs,OALFBNSA,online/feedback,0.948523,0.608,0.95,0.741463,0.001301,0.000443,300,300,2,0.266667,
near_blobs,FBNSA,online/feedback,0.94858,0.608,0.95,0.741463,0.001292,0.000446,300,300,2,0.266667,
near_blobs,MNSA,ensemble,0.959205,0.959184,0.5875,0.728682,0.004099,0.00142,300,300,2,0.266667,
near_blobs,NSNAD,feature-subspace,0.948523,0.608,0.95,0.741463,0.001659,0.000466,300,300,2,0.266667,
near_blobs,RENNSA,reduced-overlap,0.948807,0.608,0.95,0.741463,0.001736,0.000447,300,300,2,0.266667,
near_blobs,AINSA,adaptive,0.949943,0.608,0.95,0.741463,0.005715,0.000446,300,300,2,0.266667,
near_blobs,ODNSA,optimization,0.948807,0.608,0.95,0.741463,0.005861,0.000454,300,300,2,0.266667,
near_blobs,CNSA,clustering,0.948409,0.608,0.95,0.741463,0.022718,0.000587,300,300,2,0.266667,
near_blobs,VORNSA,vectorized,0.948807,0.608,0.95,0.741463,0.001417,0.000521,300,300,2,0.266667,
anisotropic_blobs,BinaryNSA,binary/string,0.788005,0.540541,0.606061,0.571429,0.003864,0.003913,300,273,2,0.120879,
anisotropic_blobs,RNSA,real-valued,0.997348,0.532258,1.0,0.694737,0.001663,0.000555,300,273,2,0.120879,
anisotropic_blobs,RRNSA,real-valued,0.997348,0.532258,1.0,0.694737,0.001463,0.000509,300,273,2,0.120879,
anisotropic_blobs,VDetector,v-detector,0.997348,0.532258,1.0,0.694737,0.001553,0.000441,300,273,2,0.120879,
anisotropic_blobs,GridNSA,grid/matrix,0.920202,0.848485,0.848485,0.848485,0.000635,0.000401,300,273,2,0.120879,
anisotropic_blobs,GFRNSA,grid/matrix,0.881313,0.848485,0.848485,0.848485,0.000579,0.000386,300,273,2,0.120879,
anisotropic_blobs,MatrixNSA,grid/matrix,0.886806,0.848485,0.848485,0.848485,0.000577,0.000382,300,273,2,0.120879,
anisotropic_blobs,ANSA,adaptive,0.997348,0.532258,1.0,0.694737,0.003632,0.000433,300,273,2,0.120879,
anisotropic_blobs,EvoSeedRNSA,optimization,0.997348,0.532258,1.0,0.694737,0.005511,0.000485,300,273,2,0.120879,
anisotropic_blobs,ORNSA,boundary-aware,0.99596,0.407407,1.0,0.578947,0.001724,0.000455,300,273,2,0.120879,
anisotropic_blobs,OptimizedNSA,optimization,0.997854,0.52381,1.0,0.6875,0.009316,0.000492,300,273,2,0.120879,
anisotropic_blobs,FtNSA,feature/self-space,0.996212,0.407407,1.0,0.578947,0.001927,0.000445,300,273,2,0.120879,
anisotropic_blobs,IVRNSA,variable-radius,0.997475,0.515625,1.0,0.680412,0.005029,0.000493,300,273,2,0.120879,
anisotropic_blobs,CBNSA,clustering,0.997348,0.52381,1.0,0.6875,0.020187,0.000458,300,273,2,0.120879,
anisotropic_blobs,PRR2NSA,clustering,0.997348,0.532258,1.0,0.694737,0.019554,0.000475,300,273,2,0.120879,
anisotropic_blobs,DENSA,density,0.997348,0.532258,1.0,0.694737,0.00433,0.000438,300,273,2,0.120879,
anisotropic_blobs,AntigenNSA,density,0.997348,0.532258,1.0,0.694737,0.004284,0.000583,300,273,2,0.120879,
anisotropic_blobs,NSADE,optimization,0.997348,0.532258,1.0,0.694737,0.005997,0.000513,300,273,2,0.120879,
